0,24,14,49,24,14,13,14,26,37,12,48,49,25,36,24,12,38,26,1,50,13,13,2,0,36,13,24,38,48,25,37,49,24,0,50,1,49,13,2,12,38,1,0,14,37,24,13,38,25,38,26,36,14
13,37,48,26,12,37,1,12,37,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,1,13,25,50,0,38
1,26,25,26,25,12,12,50,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,50,38,25,25,12,24
38,12,48,2,38,14,2,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,24,25,0,36,36,14
36,2,2,12,13,37,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,49,14,13,0,26,2
50,14,12,26,2,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,12,38,0,13,38,26
50,49,38,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,13,13,13,50,37,50
50,2,12,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,50,13,12,48,12,49
25,49,36,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,13,50,38,24,26,38
38,26,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,127,16,16,16,16,16,16,16,16,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,38,12,38,14,48,12
